"","Season","Station","EventID","DN","Lat","Long","SUMGROUP","Zoop_Bio_Sum","Zoop_Den_Sum"
"1","Early Fall","stn12","stn12_20180905_D_Cisco","D",43.503333,-79.353333,"BOSMINID",1.308409974,0.608994007
"2","Early Fall","stn12","stn12_20180905_D_Cisco","D",43.503333,-79.353333,"BYTH",0,0
"3","Early Fall","stn12","stn12_20180905_D_Cisco","D",43.503333,-79.353333,"CALANOID",3.175418421,0.421611235
"4","Early Fall","stn12","stn12_20180905_D_Cisco","D",43.503333,-79.353333,"CERC",0.012538401,0.003385333
"5","Early Fall","stn12","stn12_20180905_D_Cisco","D",43.503333,-79.353333,"CYCLOPOID",2.353017315,1.873827714
"6","Early Fall","stn12","stn12_20180905_D_Cisco","D",43.503333,-79.353333,"DAPHNID",4.160083892,0.936913857
"7","Early Fall","stn12","stn12_20180905_D_Cisco","D",43.503333,-79.353333,"LIMNO",15.81952855,0.257651311
"8","Early Fall","stn12","stn12_20180905_D_Cisco","D",43.503333,-79.353333,"MYSID",0,0
"9","Early Fall","stn12","stn12_20180905_D_Cisco","D",43.503333,-79.353333,"NDAP",1.199221189,0.772953932
"10","Early Fall","stn12","stn12_20180905_D_Cisco","D",43.503333,-79.353333,"OTHER",0,0
"11","Early Fall","stn18","stn18_20180905_D_Cisco","D",43.303333,-79.278333,"BOSMINID",1.624993192,0.899173554
"12","Early Fall","stn18","stn18_20180905_D_Cisco","D",43.303333,-79.278333,"BYTH",0,0
"13","Early Fall","stn18","stn18_20180905_D_Cisco","D",43.303333,-79.278333,"CALANOID",3.694039731,0.566146311
"14","Early Fall","stn18","stn18_20180905_D_Cisco","D",43.303333,-79.278333,"CERC",0.014072637,0.002265075
"15","Early Fall","stn18","stn18_20180905_D_Cisco","D",43.303333,-79.278333,"CYCLOPOID",6.210082144,4.529170493
"16","Early Fall","stn18","stn18_20180905_D_Cisco","D",43.303333,-79.278333,"DAPHNID",7.812794485,1.432017141
"17","Early Fall","stn18","stn18_20180905_D_Cisco","D",43.303333,-79.278333,"LIMNO",6.612795064,0.099908173
"18","Early Fall","stn18","stn18_20180905_D_Cisco","D",43.303333,-79.278333,"MYSID",0,0
"19","Early Fall","stn18","stn18_20180905_D_Cisco","D",43.303333,-79.278333,"NDAP",1.520258686,0.699357208
"20","Early Fall","stn18","stn18_20180905_D_Cisco","D",43.303333,-79.278333,"OTHER",0,0
"21","Early Fall","stn19","stn19_20180905_D_Cisco","N",43.383333,-79.285,"BOSMINID",1.651316138,1.097946754
"22","Early Fall","stn19","stn19_20180905_D_Cisco","N",43.383333,-79.285,"BYTH",0,0
"23","Early Fall","stn19","stn19_20180905_D_Cisco","N",43.383333,-79.285,"CALANOID",2.55891703,0.47411337
"24","Early Fall","stn19","stn19_20180905_D_Cisco","N",43.383333,-79.285,"CERC",0.001635186,0.000491
"25","Early Fall","stn19","stn19_20180905_D_Cisco","N",43.383333,-79.285,"CYCLOPOID",2.6182973,1.671873465
"26","Early Fall","stn19","stn19_20180905_D_Cisco","N",43.383333,-79.285,"DAPHNID",9.357437194,1.447293447
"27","Early Fall","stn19","stn19_20180905_D_Cisco","N",43.383333,-79.285,"LIMNO",13.82991279,0.224580018
"28","Early Fall","stn19","stn19_20180905_D_Cisco","N",43.383333,-79.285,"MYSID",0,0
"29","Early Fall","stn19","stn19_20180905_D_Cisco","N",43.383333,-79.285,"NDAP",0.535647425,0.324393359
"30","Early Fall","stn19","stn19_20180905_D_Cisco","N",43.383333,-79.285,"OTHER",0,0
