"","Season","SUMGROUP","Basin","All_Bio_SUM","All_Den_SUM","All_Bio_MEAN","All_Den_MEAN","All_Bio_SD","All_Den_SD","N","All_Bio_SE","All_Den_SE"
"1","Early Fall","BOSMINID","E",194223.46792,116675.088121,97111.73396,58337.5440605,33871.6183004351,8146.43617168239,2,23950.85099,5760.4002595
"2","Early Fall","BOSMINID","W",215927.10528,131168.06468,107963.55264,65584.03234,4892.68212672858,27.5959027959716,2,3459.64871,19.5132499999963
"3","Early Fall","CALANOID","E",591560.574324,108470.731154,295780.287162,54235.365577,62975.5719401764,11357.8445500457,2,44530.453968,8031.208901
"4","Early Fall","CALANOID","W",396278.420779,93546.519192,198139.2103895,46773.259596,79925.4084137967,17578.5898434493,2,56515.7982785,12429.940082
"5","Early Fall","CYCLOPOID","E",684343.8284,428258.86511,342171.9142,214129.432555,48120.6923838327,46419.8894824917,2,34026.4679,32823.818635
"6","Early Fall","CYCLOPOID","W",268290.20973,146934.77044,134145.104865,73467.38522,15020.9242615054,2069.69268141398,2,10621.397405,1463.49372999999
"7","Early Fall","DAPHNID","E",763864.026986,152094.590333,381932.013493,76047.2951665,472904.276417596,73749.2480923362,2,334393.820707,52148.5934335
"8","Early Fall","DAPHNID","W",951459.877293,203250.009204,475729.9386465,101625.004602,370940.777153008,55412.5720761019,2,262294.7389435,39182.605478
"9","Early Fall","LIMNO","E",0,0,0,0,0,0,2,0,0
"10","Early Fall","LIMNO","W",506.951889,1040.706652,253.4759445,520.353326,358.46911844723,735.890730855148,2,253.4759445,520.353326
"11","Early Fall","NDAP","E",15591.87784,4779.740346,7795.93892,2389.870173,11025.1225520963,3379.78681096753,2,7795.93892,2389.870173
"12","Early Fall","NDAP","W",41093.121737,16482.191604,20546.5608685,8241.095802,23254.1975681633,8711.10652858378,2,16443.2007915,6159.682498
"13","Early Spring","BOSMINID","E",1212.22699233,820.1587942,303.0567480825,205.03969855,548.59522846166,333.76864809407,4,274.29761423083,166.884324047035
"14","Early Spring","BOSMINID","W",433.25332487,429.377009081,108.3133312175,107.34425227025,80.6797731324697,64.5533316670591,4,40.3398865662349,32.2766658335295
"15","Early Spring","CALANOID","E",118371.91704589,13981.88140182,29592.9792614725,3495.470350455,13296.1922896198,2295.55695679987,4,6648.09614480989,1147.77847839993
