"","SUMGROUP","Season","Basin","All_Bio_SUM","All_Den_SUM","All_Bio_MEAN","All_Den_MEAN","All_Bio_SD","All_Den_SD","N","All_Bio_SE","All_Den_SE"
"1","BOSMINID","Early Fall","E",9.711173397,5.833754406,4.8555866985,2.916877203,1.69358091502175,0.407321807205262,2,1.1975425495,0.288020012
"2","BOSMINID","Early Fall","W",10.796355264,6.558403233,5.398177632,3.2792016165,0.244634105629323,0.00137979513979904,2,0.172982435,0.000975662500000141
"3","BOSMINID","Early Spring","E",0.060611345,0.041007939,0.01515283625,0.01025198475,0.0274297592936018,0.0166884319839012,4,0.0137148796468009,0.00834421599195062
"4","BOSMINID","Early Spring","W",0.021662666,0.021468403,0.0054156665,0.00536710075,0.0040339885067718,0.00322747940200908,4,0.0020169942533859,0.00161373970100454
"5","BOSMINID","Early Summer","E",3.933706074,3.039848328,0.9834265185,0.759962082,1.01589648954884,0.793326606518222,4,0.50794824477442,0.396663303259111
"6","BOSMINID","Early Summer","W",4.08328159,2.727293278,1.36109386333333,0.909097759333333,2.06959226844478,1.41169544330609,3,1.19487965329936,0.81504274420654
"7","BOSMINID","Late Spring","E",0.042823952,0.01655393,0.010705988,0.0041384825,0.0176135053598101,0.00477958529061037,4,0.00880675267990505,0.00238979264530518
"8","BOSMINID","Late Spring","W",0.073382198,0.068794246,0.0183455495,0.0171985615,0.036691099,0.034397123,4,0.0183455495,0.0171985615
"9","BOSMINID","Late Summer","E",7.8158081,6.18474268,1.953952025,1.54618567,0.633200157153288,0.693472090543369,4,0.316600078576644,0.346736045271684
"10","BOSMINID","Late Summer","W",19.7081229,11.8213035,4.927030725,2.955325875,5.19182455430239,2.84419718409707,4,2.59591227715119,1.42209859204854
"11","BOSMINID","Summer","W",2.17589426,1.229811466,0.543973565,0.3074528665,0.302436677846897,0.191460820305698,4,0.151218338923448,0.0957304101528492
"12","CALANOID","Early Fall","E",29.578028721,5.423536558,14.7890143605,2.711768279,3.14877859856446,0.567892228845789,2,2.2265226995,0.401560446
"13","CALANOID","Early Fall","W",19.81392104,4.677325961,9.90696052,2.3386629805,3.99627042221012,0.878929491323939,2,2.825789915,0.6214970035
"14","CALANOID","Early Spring","E",5.918596013,0.699093696,1.47964900325,0.174773424,0.664809651114491,0.114777900856525,4,0.332404825557246,0.0573889504282623
"15","CALANOID","Early Spring","W",7.392339803,0.881398395,1.84808495075,0.22034959875,0.9870814842625,0.0469788678526417,4,0.49354074213125,0.0234894339263208
"16","CALANOID","Early Summer","E",18.264803006,4.869814334,4.5662007515,1.2174535835,2.25613458359711,0.303560013612635,4,1.12806729179855,0.151780006806318
"17","CALANOID","Early Summer","W",33.445547507,8.522616692,11.1485158356667,2.84087223066667,2.44607653815757,0.780124281882839,3,1.4122429477637,0.450404964146421
"18","CALANOID","Late Spring","E",11.651125971,1.946782709,2.91278149275,0.48669567725,1.74624515758551,0.212858614417971,4,0.873122578792753,0.106429307208985
"19","CALANOID","Late Spring","W",14.411246359,5.790781352,3.60281158975,1.447695338,1.22375140912958,0.582496488182492,4,0.611875704564792,0.291248244091246
"20","CALANOID","Late Summer","E",34.21883423,8.994431032,8.5547085575,2.248607758,4.63288143983277,1.43877955310988,4,2.31644071991638,0.719389776554941
"21","CALANOID","Late Summer","W",31.3887592,4.88786521,7.8471898,1.2219663025,6.00069656283168,0.653434952515368,4,3.00034828141584,0.326717476257684
"22","CALANOID","Summer","W",30.933117139,4.793895429,7.73327928475,1.19847385725,7.38760666410853,1.05909350101938,4,3.69380333205426,0.529546750509689
"23","CYCLOPOID","Early Fall","E",34.217191425,21.412943255,17.1085957125,10.7064716275,2.40603462414139,2.32099447377103,2,1.7013233985,1.6411909315
"24","CYCLOPOID","Early Fall","W",13.414510487,7.346738523,6.7072552435,3.6733692615,0.75104621201461,0.103484634070699,2,0.5310698695,0.0731746864999998
"25","CYCLOPOID","Early Spring","E",8.2925468,2.650282113,2.0731367,0.66257052825,0.953168499073516,0.343950312027329,4,0.476584249536758,0.171975156013664
"26","CYCLOPOID","Early Spring","W",5.3829718,1.14036386,1.34574295,0.285090965,0.743807781688847,0.126651712035392,4,0.371903890844423,0.0633258560176961
"27","CYCLOPOID","Early Summer","E",146.692304537,65.526231192,36.67307613425,16.381557798,18.9544859142567,4.94106563356959,4,9.47724295712837,2.47053281678479
"28","CYCLOPOID","Early Summer","W",52.532259714,23.465529757,17.510753238,7.82184325233333,10.6217842223594,4.02356261216268,3,6.13248998005333,2.32300495723343
"29","CYCLOPOID","Late Spring","E",27.767340145,5.543043541,6.94183503625,1.38576088525,3.96630171773985,0.690017320727053,4,1.98315085886992,0.345008660363526
"30","CYCLOPOID","Late Spring","W",74.174085857,9.584735628,18.54352146425,2.396183907,19.9835855970085,2.55652758735322,4,9.99179279850423,1.27826379367661
"31","CYCLOPOID","Late Summer","E",145.721506,83.381292,36.4303765,20.845323,24.6482748003814,14.0036040117233,4,12.3241374001907,7.00180200586167
"32","CYCLOPOID","Late Summer","W",64.612913,38.962932,16.15322825,9.740733,7.09718397568028,3.87729084636227,4,3.54859198784014,1.93864542318114
"33","CYCLOPOID","Summer","W",34.103273477,17.807729869,8.52581836925,4.45193246725,3.03740344115218,2.12791294069286,4,1.51870172057609,1.06395647034643
"34","DAPHNID","Early Fall","E",38.193201349,7.604729519,19.0966006745,3.8023647595,23.645213821092,3.68746240578354,2,16.7196910355,2.6074296725
"35","DAPHNID","Early Fall","W",47.572993867,10.162500459,23.7864969335,5.0812502295,18.5470388566958,2.7706286018252,2,13.1147369465,1.9591302725
"36","DAPHNID","Early Spring","E",0.0352263,0.04613002,0.008806575,0.011532505,0.01761315,0.02306501,4,0.008806575,0.011532505
"37","DAPHNID","Early Spring","W",0.025277085,0.015801008,0.00631927125,0.003950252,0.00376976973522578,0.0020954402300667,4,0.00188488486761289,0.00104772011503335
"38","DAPHNID","Early Summer","E",1.870474014,0.59144633,0.4676185035,0.1478615825,0.444136963854712,0.137692013268767,4,0.222068481927356,0.0688460066343837
"39","DAPHNID","Early Summer","W",1.797008426,0.365254823,0.599002808666667,0.121751607666667,0.523683551956027,0.115983948498886,3,0.302348839691992,0.0669633638875073
"40","DAPHNID","Late Spring","E",0.006447964,0.009034436,0.001611991,0.002258609,0.003223982,0.004517218,4,0.001611991,0.002258609
"41","DAPHNID","Late Spring","W",0,0,0,0,0,0,4,0,0
"42","DAPHNID","Late Summer","E",52.74056244,13.11942193,13.18514061,3.2798554825,6.2340336965065,1.24811922595839,4,3.11701684825325,0.624059612979195
"43","DAPHNID","Late Summer","W",76.35457399,17.51762438,19.0886434975,4.379406095,13.4446885124259,2.32628227458987,4,6.72234425621296,1.16314113729494
"44","DAPHNID","Summer","W",44.049009956,7.522914628,11.012252489,1.880728657,13.6894984685744,2.63309570263858,4,6.84474923428722,1.31654785131929
"45","LIMNO","Early Fall","E",0,0,0,0,0,0,2,0,0
"46","LIMNO","Early Fall","W",0.025347594,0.052035333,0.012673797,0.0260176665,0.0179234556041634,0.0367945368256001,2,0.012673797,0.0260176665
"47","LIMNO","Early Spring","E",1.86475369,0.033207655,0.4661884225,0.00830191375,0.408505343413445,0.00689843234968566,4,0.204252671706723,0.00344921617484283
"48","LIMNO","Early Spring","W",2.90501383,0.062025814,0.7262534575,0.0155064535,0.493179246018471,0.00900001358896861,4,0.246589623009235,0.0045000067944843
"49","LIMNO","Early Summer","E",37.973487029,0.708452305,9.49337175725,0.17711307625,7.92578426435752,0.153466394162268,4,3.96289213217876,0.0767331970811339
"50","LIMNO","Early Summer","W",42.810136288,0.89417713,14.2700454293333,0.298059043333333,11.3075212498214,0.292187791663528,3,6.52840043745182,0.16869470017086
"51","LIMNO","Late Spring","E",11.230066026,0.641752993,2.8075165065,0.16043824825,1.97149017002498,0.0624849271361203,4,0.985745085012489,0.0312424635680602
"52","LIMNO","Late Spring","W",34.212614771,1.799429818,8.55315369275,0.4498574545,9.90480877338201,0.321449203550887,4,4.95240438669101,0.160724601775444
"53","LIMNO","Late Summer","E",2.1364409,0.054523513,0.534110225,0.01363087825,0.797853951670356,0.0221156203942506,4,0.398926975835178,0.0110578101971253
"54","LIMNO","Late Summer","W",3.597428,0.06943402,0.899357,0.017358505,1.798714,0.03471701,4,0.899357,0.017358505
"55","LIMNO","Summer","W",189.916880725,2.905002125,47.47922018125,0.72625053125,35.5091221488062,0.54416736309987,4,17.7545610744031,0.272083681549935
"56","NDAP","Early Fall","E",0.779593892,0.238987017,0.389796946,0.1194935085,0.551256127604813,0.168989340336245,2,0.389796946,0.1194935085
"57","NDAP","Early Fall","W",2.07959612,0.904113904,1.03979806,0.452056952,1.18034514475942,0.492126926595256,2,0.834630056,0.347986287
"58","NDAP","Early Spring","E",0,0,0,0,0,0,4,0,0
"59","NDAP","Early Spring","W",0,0,0,0,0,0,4,0,0
"60","NDAP","Early Summer","E",0.257629651,0.070442562,0.06440741275,0.0176106405,0.1288148255,0.035221281,4,0.06440741275,0.0176106405
"61","NDAP","Early Summer","W",0,0,0,0,0,0,3,0,0
"62","NDAP","Late Spring","E",0,0,0,0,0,0,4,0,0
"63","NDAP","Late Spring","W",0,0,0,0,0,0,4,0,0
"64","NDAP","Late Summer","E",8.2039534,2.8849909,2.05098835,0.721247725,3.94830449835365,1.36476094017132,4,1.97415224917683,0.682380470085659
"65","NDAP","Late Summer","W",3.44006937,2.0343203,0.8600173425,0.508580075,0.765209732463115,0.328532547274182,4,0.382604866231557,0.164266273637091
"66","NDAP","Summer","W",0.318554684,0.156343206,0.079638671,0.0390858015,0.14595946898201,0.0507245404465994,4,0.0729797344910051,0.0253622702232997
