"","Season","Station","EventCode","DN","Lat","Long","Transect","Basin","SUMGROUP","Zoop_Bio_Sum","Zoop_Den_Sum"
"1","Early Fall",33,"stn33_20180925_N_LG","N",43.5964,-78.8144,"2","W","BOSMINID",104503.90393,65603.54559
"2","Early Fall",33,"stn33_20180925_N_LG","N",43.5964,-78.8144,"2","W","BYTH",5924.070378,40.97782443
"3","Early Fall",33,"stn33_20180925_N_LG","N",43.5964,-78.8144,"2","W","CALANOID",254655.008668,59203.199678
"4","Early Fall",33,"stn33_20180925_N_LG","N",43.5964,-78.8144,"2","W","CERC",11309.54233,2101.576996
"5","Early Fall",33,"stn33_20180925_N_LG","N",43.5964,-78.8144,"2","W","CYCLOPOID",144766.50227,72003.89149
"6","Early Fall",33,"stn33_20180925_N_LG","N",43.5964,-78.8144,"2","W","DAPHNID",738024.67759,140807.61008
"7","Early Fall",33,"stn33_20180925_N_LG","N",43.5964,-78.8144,"2","W","LIMNO",0,0
"8","Early Fall",33,"stn33_20180925_N_LG","N",43.5964,-78.8144,"2","W","NDAP",36989.76166,14400.7783
"9","Early Fall",34,"stn34_20180926_N_LG","N",43.4611,-78.7594,"2","W","BOSMINID",111423.20135,65564.51909
"10","Early Fall",34,"stn34_20180926_N_LG","N",43.4611,-78.7594,"2","W","BYTH",1162.181755,11.70794984
"11","Early Fall",34,"stn34_20180926_N_LG","N",43.4611,-78.7594,"2","W","CALANOID",141623.412111,34343.319514
"12","Early Fall",34,"stn34_20180926_N_LG","N",43.4611,-78.7594,"2","W","CERC",2276.163143,409.7782443
"13","Early Fall",34,"stn34_20180926_N_LG","N",43.4611,-78.7594,"2","W","CYCLOPOID",123523.70746,74930.87895
"14","Early Fall",34,"stn34_20180926_N_LG","N",43.4611,-78.7594,"2","W","DAPHNID",213435.199703,62442.399124
"15","Early Fall",34,"stn34_20180926_N_LG","N",43.4611,-78.7594,"2","W","LIMNO",506.951889,1040.706652
"16","Early Fall",34,"stn34_20180926_N_LG","N",43.4611,-78.7594,"2","W","NDAP",4103.360077,2081.413304
"17","Early Fall",69,"stn69_20180924_D_LG","D",43.6053,-76.7147,"5","E","BOSMINID",73160.88297,52577.143801
"18","Early Fall",69,"stn69_20180924_D_LG","D",43.6053,-76.7147,"5","E","BYTH",6181.484045,57.93624661
"19","Early Fall",69,"stn69_20180924_D_LG","D",43.6053,-76.7147,"5","E","CALANOID",251249.833194,46204.156676
"20","Early Fall",69,"stn69_20180924_D_LG","D",43.6053,-76.7147,"5","E","CERC",4145.025832,687.9929285
"21","Early Fall",69,"stn69_20180924_D_LG","D",43.6053,-76.7147,"5","E","CYCLOPOID",376198.3821,246953.25119
"22","Early Fall",69,"stn69_20180924_D_LG","D",43.6053,-76.7147,"5","E","DAPHNID",47538.192786,23898.701733
"23","Early Fall",69,"stn69_20180924_D_LG","D",43.6053,-76.7147,"5","E","LIMNO",0,0
"24","Early Fall",69,"stn69_20180924_D_LG","D",43.6053,-76.7147,"5","E","NDAP",15591.87784,4779.740346
"25","Early Fall",715,"stn715_20180924_D_LG","D",43.6356,-76.9694,"5","E","BOSMINID",121062.58495,64097.94432
"26","Early Fall",715,"stn715_20180924_D_LG","D",43.6356,-76.9694,"5","E","BYTH",1925.351336,22.1834839
"27","Early Fall",715,"stn715_20180924_D_LG","D",43.6356,-76.9694,"5","E","CALANOID",340310.74113,62266.574478
"28","Early Fall",715,"stn715_20180924_D_LG","D",43.6356,-76.9694,"5","E","CERC",452.9691262,66.5504517
"29","Early Fall",715,"stn715_20180924_D_LG","D",43.6356,-76.9694,"5","E","CYCLOPOID",308145.4463,181305.61392
"30","Early Fall",715,"stn715_20180924_D_LG","D",43.6356,-76.9694,"5","E","DAPHNID",716325.8342,128195.8886
"31","Early Fall",715,"stn715_20180924_D_LG","D",43.6356,-76.9694,"5","E","LIMNO",0,0
"32","Early Fall",715,"stn715_20180924_D_LG","D",43.6356,-76.9694,"5","E","NDAP",0,0
"33","Early Spring",12,"stn12_20180409_D_LG","D",43.50348333,-79.35378333,"1","W","BOSMINID",170.63285833,188.270257101
"34","Early Spring",12,"stn12_20180409_D_LG","D",43.50348333,-79.35378333,"1","W","BYTH",0,0
"35","Early Spring",12,"stn12_20180409_D_LG","D",43.50348333,-79.35378333,"1","W","CALANOID",18098.86210056,3765.405142501
"36","Early Spring",12,"stn12_20180409_D_LG","D",43.50348333,-79.35378333,"1","W","CERC",0,0
"37","Early Spring",12,"stn12_20180409_D_LG","D",43.50348333,-79.35378333,"1","W","CYCLOPOID",11173.126671,3329.410863
"38","Early Spring",12,"stn12_20180409_D_LG","D",43.50348333,-79.35378333,"1","W","DAPHNID",145.94914165,79.271687201
"39","Early Spring",12,"stn12_20180409_D_LG","D",43.50348333,-79.35378333,"1","W","LIMNO",1686.5479745,118.90753081
"40","Early Spring",12,"stn12_20180409_D_LG","D",43.50348333,-79.35378333,"1","W","NDAP",0,0
"41","Early Spring",25,"stn25_20180409_D_LG","N",43.51655,-79.08008333,"GLISP","W","BOSMINID",184.8349293,130.2803155
"42","Early Spring",25,"stn25_20180409_D_LG","N",43.51655,-79.08008333,"GLISP","W","BYTH",0,0
"43","Early Spring",25,"stn25_20180409_D_LG","N",43.51655,-79.08008333,"GLISP","W","CALANOID",26157.4747105,3547.633206
"44","Early Spring",25,"stn25_20180409_D_LG","N",43.51655,-79.08008333,"GLISP","W","CERC",0,0
"45","Early Spring",25,"stn25_20180409_D_LG","N",43.51655,-79.08008333,"GLISP","W","CYCLOPOID",23987.741065654,5602.05356573
"46","Early Spring",25,"stn25_20180409_D_LG","N",43.51655,-79.08008333,"GLISP","W","DAPHNID",218.90513674,60.12937638
