"","SUMGROUP","Season","All_Bio_SUM","All_Den_SUM","All_Bio_MEAN","All_Den_MEAN","All_Bio_SD","All_Den_SD","N","All_Bio_SE","All_Den_SE"
"1","BOSMINID","Early Fall",20.507528661,12.392157639,5.12688216525,3.09803940975,1.03641482725779,0.314744308435544,4,0.518207413628895,0.157372154217772
"2","BOSMINID","Early Spring",0.082274011,0.062476342,0.010284251375,0.00780954275,0.0188816586136378,0.0114298190180771,8,0.00667567442287634,0.00404105126770866
"3","BOSMINID","Early Summer",8.016987664,5.767141606,1.145283952,0.823877372285714,1.40872722792903,0.992639374224629,7,0.532448844317946,0.375182417967021
"4","BOSMINID","Late Spring",0.11620615,0.085348176,0.01452576875,0.010668522,0.0269553672113423,0.0237821987619027,8,0.00953016147225682,0.00840827700803386
"5","BOSMINID","Late Summer",27.523931,18.00604618,3.440491375,2.2507557725,3.77484811118873,2.05921051868567,8,1.33461034868539,0.728040860826651
"6","BOSMINID","Summer",2.17589426,1.229811466,0.543973565,0.3074528665,0.302436677846897,0.191460820305698,4,0.151218338923448,0.0957304101528492
"7","BYTH","Early Fall",0.759654376,0.006639877,0.189913594,0.00165996925,0.131198075227528,0.00102306311498342,4,0.0655990376137639,0.000511531557491711
"8","BYTH","Early Spring",0,0,0,0,0,0,8,0,0
"9","BYTH","Early Summer",0.257140974,0.004727216,0.0367344248571429,0.000675316571428571,0.0362153834748709,0.000643333848144921,7,0.0136881283299066,0.000243157338883093
"10","BYTH","Late Spring",0,0,0,0,0,0,8,0,0
"11","BYTH","Late Summer",1.50789535,0.012572524,0.18848691875,0.0015715655,0.288462237195754,0.00190961255884156,8,0.10198680201868,0.000675149994897933
"12","BYTH","Summer",2.182837471,0.015278874,0.54570936775,0.0038197185,0.319556004351098,0.00206288400593126,4,0.159778002175549,0.00103144200296563
"13","CALANOID","Early Fall",49.391949761,10.100862519,12.34798744025,2.52521562975,4.07101271805717,0.641411515869797,4,2.03550635902859,0.320705757934898
"14","CALANOID","Early Spring",13.310935816,1.580492091,1.663866977,0.197561511375,0.803598627708682,0.0847663318093785,8,0.284115019502506,0.0299694240193602
"15","CALANOID","Early Summer",51.710350513,13.392431026,7.38719293042857,1.91320443228571,4.11322355591632,1.00096731904385,7,1.55465237368105,0.378330085241868
"16","CALANOID","Late Spring",26.06237233,7.737564061,3.25779654125,0.967195507625,1.44385901838214,0.654748974946435,8,0.510481251487682,0.231488720079783
"17","CALANOID","Late Summer",65.60759343,13.882296242,8.20094917875,1.73528703025,4.97733455072103,1.17102988098693,8,1.75975350652447,0.414021584908966
"18","CALANOID","Summer",30.933117139,4.793895429,7.73327928475,1.19847385725,7.38760666410853,1.05909350101938,4,3.69380333205426,0.529546750509689
"19","CERC","Early Fall",0.909185022,0.163294931,0.2272962555,0.04082373275,0.237717175082728,0.0446820607698936,4,0.118858587541364,0.0223410303849468
"20","CERC","Early Spring",0,0,0,0,0,0,8,0,0
"21","CERC","Early Summer",0.289747587,0.046185096,0.0413925124285714,0.00659787085714286,0.0425306949704212,0.00645460619653258,7,0.0160750917112114,0.00243961182955453
"22","CERC","Late Spring",0,0,0,0,0,0,8,0,0
"23","CERC","Late Summer",6.16967376,1.209178479,0.77120922,0.151147309875,0.791289282088311,0.147108537870034,8,0.27976300862244,0.0520107223491695
"24","CERC","Summer",1.002307458,0.173160577,0.2505768645,0.04329014425,0.31035812087768,0.0548682288354489,4,0.15517906043884,0.0274341144177244
"25","CYCLOPOID","Early Fall",47.631701912,28.759681778,11.907925478,7.1899204445,6.17902248410447,4.27637904881374,4,3.08951124205224,2.13818952440687
"26","CYCLOPOID","Early Spring",13.6755186,3.790645973,1.709439825,0.473830746625,0.881844167174592,0.313507589622963,8,0.311778995279479,0.110841671287923
"27","CYCLOPOID","Early Summer",199.224564251,88.991760949,28.4606520358571,12.713108707,17.9487172164261,6.20784462260984,7,6.78397744389815,2.34634472130789
"28","CYCLOPOID","Late Spring",101.941426002,15.127779169,12.74267825025,1.890972396125,14.7087145395151,1.81571634778001,8,5.20031589671416,0.641952671113258
"29","CYCLOPOID","Late Summer",210.334419,122.344224,26.291802375,15.293028,19.9858803564784,11.2124087319714,8,7.06607576402443,3.96418512390611
"30","CYCLOPOID","Summer",34.103273477,17.807729869,8.52581836925,4.45193246725,3.03740344115218,2.12791294069286,4,1.51870172057609,1.06395647034643
"31","DAPHNID","Early Fall",85.766195216,17.767229978,21.441548804,4.4418074945,17.5602193790124,2.76341032594968,4,8.78010968950618,1.38170516297484
