"","Species","Year","All_Bio_SUM","All_Den_SUM","All_Bio_MEAN","All_Den_MEAN","All_Bio_SD","All_Den_SD","N","All_Bio_SE","All_Den_SE"
"1","Bythotrephes longimanus","2012",0,0,0,0,0,0,6,0,0
"2","Bythotrephes longimanus","2013",218.06781295,1.730598188,36.3446354916667,0.288433031333333,58.4662595795884,0.447871684796265,6,23.8687505231834,0.182842849665245
"3","Bythotrephes longimanus","2014",627.93791927,9.647741782,104.656319878333,1.60795696366667,91.7327413901958,2.20877447151352,6,37.4497348521111,0.901728402015617
"4","Bythotrephes longimanus","2015",3999.01170797,48.171376712,666.501951328333,8.02856278533333,782.543971298942,9.36713907426017,6,319.472238495596,3.82411851360397
"5","Bythotrephes longimanus","2016",6537.3023932,86.996158527,1089.55039886667,14.4993597545,959.483906566544,13.7908028799573,6,391.70766458338,5.6300716998667
"6","Bythotrephes longimanus","2017",16290.353049,143.427967991,2715.0588415,23.9046613318333,2212.20176655112,19.6624073911908,6,903.127589355631,8.02714420385767
"7","Bythotrephes longimanus","2018",1667.1833048,21.257246424,277.863884133333,3.542874404,598.707605511113,8.16946846741174,6,244.421356437625,3.33517153581928
"8","Bythotrephes longimanus","2019",7275.06358565,66.88203612,1212.51059760833,11.14700602,1767.44094927964,15.600711068466,6,721.554746039241,6.36896362372193
"9","Cyclops divergens","2012",0,0,0,0,0,0,6,0,0
"10","Cyclops divergens","2013",0,0,0,0,0,0,6,0,0
"11","Cyclops divergens","2014",0,0,0,0,0,0,6,0,0
"12","Cyclops divergens","2015",0,0,0,0,0,0,6,0,0
"13","Cyclops divergens","2016",0,0,0,0,0,0,6,0,0
"14","Cyclops divergens","2017",0,0,0,0,0,0,6,0,0
"15","Cyclops divergens","2018",0,0,0,0,0,0,6,0,0
"16","Cyclops divergens","2019",0,0,0,0,0,0,6,0,0
"17","Daphnia lumholtzi","2012",1495.38248832,788.51393355,249.23041472,131.418988925,246.67698393251,160.795354861609,6,100.705456987229,65.644428736782
"18","Daphnia lumholtzi","2013",18.37012312,26.15126151,3.06168718666667,4.358543585,7.49957135935068,10.6762078049309,6,3.06168718666667,4.358543585
"19","Daphnia lumholtzi","2014",1.626320122,3.137506964,0.271053353666667,0.522917827333333,0.663942409553481,1.28088185437147,6,0.271053353666667,0.522917827333333
"20","Daphnia lumholtzi","2015",1.230938146,0.595667623,0.205156357666667,0.0992779371666667,0.502528393771257,0.243180288774423,6,0.205156357666667,0.0992779371666667
