"","Season","Station","EventCode","DN","Lat","Long","Transect","Basin","SUMGROUP","Zoop_Bio_Sum","Zoop_Den_Sum"
"1","Early Fall",9,"stn9_20180905_D_Cisco","D",43.586667,-79.395,"1","W","BOSMINID",27132.91932,14250.551085
"2","Early Fall",9,"stn9_20180905_D_Cisco","D",43.586667,-79.395,"1","W","BYTH",0,0
"3","Early Fall",9,"stn9_20180905_D_Cisco","D",43.586667,-79.395,"1","W","CALANOID",167711.10737,24938.464402
"4","Early Fall",9,"stn9_20180905_D_Cisco","D",43.586667,-79.395,"1","W","CERC",9582.312286,2121.265238
"5","Early Fall",9,"stn9_20180905_D_Cisco","D",43.586667,-79.395,"1","W","CYCLOPOID",119398.48862,66799.45821
"6","Early Fall",9,"stn9_20180905_D_Cisco","D",43.586667,-79.395,"1","W","DAPHNID",287425.0412,66799.45821
"7","Early Fall",9,"stn9_20180905_D_Cisco","D",43.586667,-79.395,"1","W","LIMNO",441383.7992,7125.275542
"8","Early Fall",9,"stn9_20180905_D_Cisco","D",43.586667,-79.395,"1","W","NDAP",5552.927648,3562.637771
"9","Early Fall",9,"stn9_20180905_D_Cisco","D",43.586667,-79.395,"1","W","OTHER",0,0
"10","Early Fall",12,"stn12_20180905_D_Cisco","D",43.503333,-79.353333,"1","W","BOSMINID",136074.63735,63335.376733
"11","Early Fall",12,"stn12_20180905_D_Cisco","D",43.503333,-79.353333,"1","W","BYTH",0,0
"12","Early Fall",12,"stn12_20180905_D_Cisco","D",43.503333,-79.353333,"1","W","CALANOID",330243.51573,43847.56851
"13","Early Fall",12,"stn12_20180905_D_Cisco","D",43.503333,-79.353333,"1","W","CERC",1303.993687,352.0746603
"14","Early Fall",12,"stn12_20180905_D_Cisco","D",43.503333,-79.353333,"1","W","CYCLOPOID",244713.8008,194878.082298
"15","Early Fall",12,"stn12_20180905_D_Cisco","D",43.503333,-79.353333,"1","W","DAPHNID",432648.7248,97439.04113
"16","Early Fall",12,"stn12_20180905_D_Cisco","D",43.503333,-79.353333,"1","W","LIMNO",1645230.969,26795.73631
"17","Early Fall",12,"stn12_20180905_D_Cisco","D",43.503333,-79.353333,"1","W","NDAP",121569.0839,77951.2329
"18","Early Fall",12,"stn12_20180905_D_Cisco","D",43.503333,-79.353333,"1","W","OTHER",0,0
"19","Early Fall",18,"stn18_20180905_D_Cisco","D",43.303333,-79.278333,"1","W","BOSMINID",138124.42135,76429.75207
"20","Early Fall",18,"stn18_20180905_D_Cisco","D",43.303333,-79.278333,"1","W","BYTH",0,0
"21","Early Fall",18,"stn18_20180905_D_Cisco","D",43.303333,-79.278333,"1","W","CALANOID",313993.37713,48122.436488
