EventCodeKey,SAMPLENUM,Station,Date,CollectionDateString,RotiferSamples_SiteDepth,LatitudeDD,LongitudeDD,Mesh,Strata,Bot Z,Top Z,pNAUPLII,ROTIFER,VELIGER,SampleDepthCode,Depth,Temperature_C,ChlA_ugL,SampleChlA_SiteDepth
stn55_20180815_D_LG,18GO55I54,stn55,2018-08-15,20180815,198,43.44361667,-77.438335,64,epi,20,0,1793.57,6498.99,2026.76,DCL,19.9,11.1,7.84,198
stn55_20180815_D_LG,18GO55I54,stn55,2018-08-15,20180815,198,43.44361667,-77.438335,64,epi,20,0,1793.57,6498.99,2026.76,B-,188.1,3.8,7.28,198
stn716_20180622_D_LG,8060-a,stn716,2018-06-22,20180622,147.5,43.443,-77.43803333,64,epi,20,0,10905.8,856.7,217.6,UDCL,12,8.2,7.271049704,147.5
stn34_20180521_N_LG,8010-a,stn34,2018-05-21,20180521,135.3,43.460835,-78.75971667,64,epi,20,0,4253.7,492.8,1306,SRF,2,7.9,7.2,135.3
stn34_20180521_N_LG,8010-b,stn34,2018-05-21,20180521,135.3,43.460835,-78.75971667,64,meta,50,20,129.8,1.9,18,SRF,2,7.9,7.2,135.3
stn34_20180521_N_LG,8010-c,stn34,2018-05-21,20180521,135.3,43.460835,-78.75971667,64,hypo,100,50,71.8,1.5,12,SRF,2,7.9,7.2,135.3
stn19_20180524_D_LJ,DFO295-a,stn19,2018-05-24,20180524,110,43.383333,-79.285,64,epi,20,0,1627,1236.4,2455.2,Fixed Depth,20,NA,6.547648,110
stn63_20180523_D_LG,8025-a,stn63,2018-05-23,20180523,86.3,43.73163333,-77.00165333,64,epi,20,0,216.9,649.6,7.3,SRF,2,4.9,6.24897261,86.3
stn39_20180522_D_LG,8016-a,stn39,2018-05-22,20180522,153,43.48628333,-78.0005,64,epi,20,0,1558.5,529.9,261.6,SRF,2,5.6,6.04,153
stn69_20180621_D_LG,8067-c,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,hypo,100,50,28,2.3,8.4,UDCL/LEP,8,10,6.028233483,192.1
stn69_20180621_D_LG,8067-b,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,meta,50,20,17.8,3,5.4,UDCL/LEP,8,10,6.028233483,192.1
stn69_20180621_D_LG,8067-a,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,epi,20,0,6445.1,732.4,348.7,UDCL/LEP,8,10,6.028233483,192.1
stn49_20180815_N_LG,18GO55I34,stn49,2018-08-15,20180815,48,43.77025,-77.43955,64,epi,20,0,5445.36,8239.16,386.07,DCL,14.4,11,5.68,48
stn19_20180524_D_LJ,DFO295-a,stn19,2018-05-24,20180524,110,43.383333,-79.285,64,epi,20,0,1627,1236.4,2455.2,NA,20,NA,5.5,110
stn715_20180621_D_LG,8066-a,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,epi,20,0,5496.5,2923.6,3180.6,DCL,18,9.8,5.133144488,149.3
stn715_20180621_D_LG,8066-c,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,hypo,100,50,10,2.3,19.9,DCL,18,9.8,5.133144488,149.3
stn715_20180621_D_LG,8066-b,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,meta,50,20,212.3,65.3,231.7,DCL,18,9.8,5.133144488,149.3
stn58_20180524_D_LG,8022-a,stn58,2018-05-24,20180524,89,43.3281,-77.43873333,64,epi,20,0,1278.9,388.4,773.8,SRF,2,6.1,5.06690366,89
stn40_20180620_D_LG,8055-a,stn40,2018-06-20,20180620,181.7,43.58986667,-78.01195,64,epi,20,0,10996.3,466.1,321.3,UDCL,7,10.8,5.038311718,181.7
stn69_20180621_D_LG,8067-c,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,hypo,100,50,28,2.3,8.4,DCL,11.1,9.4,4.94587575,192.1
stn69_20180621_D_LG,8067-b,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,meta,50,20,17.8,3,5.4,DCL,11.1,9.4,4.94587575,192.1
stn69_20180621_D_LG,8067-a,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,epi,20,0,6445.1,732.4,348.7,DCL,11.1,9.4,4.94587575,192.1
stn40_20180620_D_LG,8055-a,stn40,2018-06-20,20180620,181.7,43.58986667,-78.01195,64,epi,20,0,10996.3,466.1,321.3,DCL,11.9,7.2,4.84508279,181.7
stn55_20180815_D_LG,18GO55I54,stn55,2018-08-15,20180815,198,43.44361667,-77.438335,64,epi,20,0,1793.57,6498.99,2026.76,TRM,15,17.1,4.8,198
stn69_20180621_D_LG,8067-c,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,hypo,100,50,28,2.3,8.4,MEP,4.9,11.4,4.785883895,192.1
stn69_20180621_D_LG,8067-a,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,epi,20,0,6445.1,732.4,348.7,MEP,4.9,11.4,4.785883895,192.1
stn69_20180621_D_LG,8067-b,stn69,2018-06-21,20180621,192.1,43.59906833,-76.710005,64,meta,50,20,17.8,3,5.4,MEP,4.9,11.4,4.785883895,192.1
stn69_20180621_N_LG,8073-a,stn69,2018-06-21,20180621,187.8,43.59906833,-76.710005,64,epi,20,0,8298.5,1170.8,246.3,UDCL,7.7,10.3,4.722761031,187.8
stn69_20180621_N_LG,8073-b,stn69,2018-06-21,20180621,187.8,43.59906833,-76.710005,64,meta,50,20,9.2,0.3,8.5,UDCL,7.7,10.3,4.722761031,187.8
stn69_20180621_N_LG,8073-c,stn69,2018-06-21,20180621,187.8,43.59906833,-76.710005,64,hypo,100,50,10,0.4,1.6,UDCL,7.7,10.3,4.722761031,187.8
stn18_20180725_D_LEII,8168-a,stn18,2018-07-25,20180725,85,43.303,-79.27816667,64,epi,20,0,222,10.6,5153.6,DCL,29,6.5,4.68,85
stn716_20180622_D_LG,8060-a,stn716,2018-06-22,20180622,147.5,43.443,-77.43803333,64,epi,20,0,10905.8,856.7,217.6,LEP,6,14.3,4.597766732,147.5
stn27_20180619_D_LG,8042-a,stn27,2018-06-19,20180619,102.5,43.68971667,-78.82913333,64,epi,20,0,4111.2,148.9,357.5,UDCL,18.7,5.8,4.593906395,102.5
stn715_20180621_D_LG,8066-c,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,hypo,100,50,10,2.3,19.9,UDCL,13,11.4,4.571020115,149.3
stn715_20180621_D_LG,8066-b,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,meta,50,20,212.3,65.3,231.7,UDCL,13,11.4,4.571020115,149.3
stn715_20180621_D_LG,8066-a,stn715,2018-06-21,20180621,149.3,43.63643333,-76.96826667,64,epi,20,0,5496.5,2923.6,3180.6,UDCL,13,11.4,4.571020115,149.3
stn34_20180521_D_LG,8004-a,stn34,2018-05-21,20180521,135.5,43.4622,-78.76003333,64,epi,20,0,4211.6,1355.4,1141,SRF,2,7.6,4.44,135.5
stn34_20180521_D_LG,8004-b,stn34,2018-05-21,20180521,135.5,43.4622,-78.76003333,64,meta,50,20,194.1,11.3,18.7,SRF,2,7.6,4.44,135.5
stn34_20180521_D_LG,8004-c,stn34,2018-05-21,20180521,135.5,43.4622,-78.76003333,64,hypo,100,50,72.4,13.1,29.8,SRF,2,7.6,4.44,135.5
stn19_20180725_D_LEII,8169-a,stn19,2018-07-25,20180725,105,43.38316667,-79.28516667,64,epi,20,0,978.7,1530.1,15286.1,UDCL,12,14.5,4.4,105
stn55_20180620_D_LG,8061-a,stn55,2018-06-20,20180620,190.4,43.443,-77.43803333,64,epi,20,0,14074.9,104.7,44.5,UDCL,8,9.9,4.379742567,190.4
