EventCodeKey,CollectionDate,Transect,Basin,DN,Lat,Long,SiteDepth,SAMPLENUM,EventCode,Station,Date,Mesh,Strata,Depth (m),SPECCODE,CountType,SUMGROUP,Density #m3,Biomass ug m3,Density_L,Biomass_L,Areal Density m2,Areal Biomass m2
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,BOSLONG,MACRO,BOSMINID,1125.860269,1630.905428,1.125860269,1.630905428,66425.75588,96223.42022
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,BYTLONG,MACRO,BYTH,0.604249275,87.60570533,0.000604249,0.087605705,35.65070725,5168.736615
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,CECPENG,MACRO,CERC,106.4341938,590.1468061,0.106434194,0.590146806,6279.617435,34818.66156
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,CYCCOPE,MACRO,CYCLOPOID,2302.132192,1973.19648,2.302132192,1.97319648,135825.7993,116418.5923
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,DAPGALEM,MACRO,DAPHNID,84.01942307,970.3137668,0.084019423,0.970313767,4957.145961,57248.51224
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,DAPRETR,MACRO,DAPHNID,16.80388461,16.33155683,0.016803885,0.016331557,991.4291922,963.5618532
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,DIACOPE,MACRO,CALANOID,100.8233077,240.517286,0.100823308,0.240517286,5948.575153,14190.51987
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,DIYTHOM,MACRO,CYCLOPOID,487.3126538,2749.28563,0.487312654,2.74928563,28751.44657,162207.8522
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,EUBCORE,MACRO,BOSMINID,16.80388461,26.68309086,0.016803885,0.026683091,991.4291922,1574.30236
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,LEOMINU,MACRO,CALANOID,67.21553845,485.8829714,0.067215538,0.485882971,3965.716769,28667.09531
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,LIMCOPE,MACRO,LIMNO,50.41165384,475.600501,0.050411654,0.475600501,2974.287577,28060.42956
stn9_20180725_D_LEII,7/25/2018,1,W,D,43.587,-79.395,60,8171-wz,stn9_20180725_D_LEII,9,7/25/2018,153,wwc,59,LIMMACR,MACRO,LIMNO,50.41165384,3106.227767,0.050411654,3.106227767,2974.287577,183267.4382
stn9_20180524_D_LJ,5/24/2018,1,W,D,43.586667,-79.395,61,DFO283-wz,stn9_20180524_D_LJ,9,5/24/2018,153,wwc,59,BOSLONG,MACRO,BOSMINID,3.705318221,4.237652768,0.003705318,0.004237653,218.6137751,250.0215133
stn9_20180524_D_LJ,5/24/2018,1,W,D,43.586667,-79.395,61,DFO283-wz,stn9_20180524_D_LJ,9,5/24/2018,153,wwc,59,CYCCOPE,MACRO,CYCLOPOID,196.3818657,310.7776157,0.196381866,0.310777616,11586.53008,18335.87933
stn9_20180524_D_LJ,5/24/2018,1,W,D,43.586667,-79.395,61,DFO283-wz,stn9_20180524_D_LJ,9,5/24/2018,153,wwc,59,DAPGALEM,MACRO,DAPHNID,3.705318221,18.72310323,0.003705318,0.018723103,218.6137751,1104.663091
stn9_20180524_D_LJ,5/24/2018,1,W,D,43.586667,-79.395,61,DFO283-wz,stn9_20180524_D_LJ,9,5/24/2018,153,wwc,59,DIACOPE,MACRO,CALANOID,463.1647777,946.6153287,0.463164778,0.946615329,27326.72188,55850.30439
