Season,Mesh,Lake,Station,SPECCODE,Species,Year,Density_m3,Biomass ug_m3
Summer,153,Erie,ER58,BYTLONG,Bythotrephes longimanus,2012,0,0
Summer,153,Erie,ER59,BYTLONG,Bythotrephes longimanus,2012,0,0
Summer,153,Erie,ER60,BYTLONG,Bythotrephes longimanus,2012,0,0
Summer,153,Erie,ER61,BYTLONG,Bythotrephes longimanus,2012,0,0
Summer,153,Erie,ER91M,BYTLONG,Bythotrephes longimanus,2012,0,0
Summer,153,Erie,ER92,BYTLONG,Bythotrephes longimanus,2012,0,0
Summer,153,Erie,ER58,BYTLONG,Bythotrephes longimanus,2013,0,0
Summer,153,Erie,ER59,BYTLONG,Bythotrephes longimanus,2013,0.913371266,84.13082235
Summer,153,Erie,ER60,BYTLONG,Bythotrephes longimanus,2013,0,0
Summer,153,Erie,ER61,BYTLONG,Bythotrephes longimanus,2013,0.817226922,133.9369906
Summer,153,Erie,ER91M,BYTLONG,Bythotrephes longimanus,2013,0,0
Summer,153,Erie,ER92,BYTLONG,Bythotrephes longimanus,2013,0,0
Summer,153,Erie,ER58,BYTLONG,Bythotrephes longimanus,2014,0.733221736,41.36625422
Summer,153,Erie,ER59,BYTLONG,Bythotrephes longimanus,2014,0.822639021,143.6619815
Summer,153,Erie,ER60,BYTLONG,Bythotrephes longimanus,2014,1.568753482,240.636549
Summer,153,Erie,ER61,BYTLONG,Bythotrephes longimanus,2014,5.99612442,160.6305159
Summer,153,Erie,ER91M,BYTLONG,Bythotrephes longimanus,2014,0,0
Summer,153,Erie,ER92,BYTLONG,Bythotrephes longimanus,2014,0.527003123,41.64261865
Summer,153,Erie,ER58,BYTLONG,Bythotrephes longimanus,2015,2.978338116,320.2691114
Summer,153,Erie,ER59,BYTLONG,Bythotrephes longimanus,2015,23.24556579,2063.268159
Summer,153,Erie,ER60,BYTLONG,Bythotrephes longimanus,2015,1.942394424,310.9321923
Summer,153,Erie,ER61,BYTLONG,Bythotrephes longimanus,2015,1.78700287,79.60792037
Summer,153,Erie,ER91M,BYTLONG,Bythotrephes longimanus,2015,16.29656705,1119.580731
Summer,153,Erie,ER92,BYTLONG,Bythotrephes longimanus,2015,1.921508462,105.3535939
Summer,153,Erie,ER58,BYTLONG,Bythotrephes longimanus,2016,12.52608348,950.9996564
Summer,153,Erie,ER59,BYTLONG,Bythotrephes longimanus,2016,14.89169058,1097.825881
Summer,153,Erie,ER60,BYTLONG,Bythotrephes longimanus,2016,1.537728919,206.6026866
Summer,153,Erie,ER61,BYTLONG,Bythotrephes longimanus,2016,1.219578108,163.8573032
Summer,153,Erie,ER91M,BYTLONG,Bythotrephes longimanus,2016,18.03062536,1328.399128
Summer,153,Erie,ER92,BYTLONG,Bythotrephes longimanus,2016,38.79045208,2789.617738
Summer,153,Erie,ER58,BYTLONG,Bythotrephes longimanus,2017,57.13254367,6479.64551
Summer,153,Erie,ER59,BYTLONG,Bythotrephes longimanus,2017,25.02949532,2932.424206
Summer,153,Erie,ER60,BYTLONG,Bythotrephes longimanus,2017,12.8610055,1574.312258
Summer,153,Erie,ER61,BYTLONG,Bythotrephes longimanus,2017,2.647067661,376.709322
Summer,153,Erie,ER91M,BYTLONG,Bythotrephes longimanus,2017,34.09815305,3758.661669
Summer,153,Erie,ER92,BYTLONG,Bythotrephes longimanus,2017,11.65970279,1168.600084
Summer,153,Erie,ER58,BYTLONG,Bythotrephes longimanus,2018,0,0
Summer,153,Erie,ER59,BYTLONG,Bythotrephes longimanus,2018,0,0
Summer,153,Erie,ER60,BYTLONG,Bythotrephes longimanus,2018,0,0
Summer,153,Erie,ER61,BYTLONG,Bythotrephes longimanus,2018,1.061032954,175.6577928
Summer,153,Erie,ER91M,BYTLONG,Bythotrephes longimanus,2018,0,0
Summer,153,Erie,ER92,BYTLONG,Bythotrephes longimanus,2018,20.19621347,1491.525512
Summer,153,Erie,ER58,BYTLONG,Bythotrephes longimanus,2019,32.68024498,2988.983586
Summer,153,Erie,ER59,BYTLONG,Bythotrephes longimanus,2019,0,0
Summer,153,Erie,ER60,BYTLONG,Bythotrephes longimanus,2019,0,0
Summer,153,Erie,ER61,BYTLONG,Bythotrephes longimanus,2019,0.708240603,22.33255335
Summer,153,Erie,ER91M,BYTLONG,Bythotrephes longimanus,2019,3.842581997,340.7795773
Summer,153,Erie,ER92,BYTLONG,Bythotrephes longimanus,2019,29.65096854,3922.967869
Summer,153,Erie,ER58,CYCSTRE,Cyclops divergens,2012,0,0
Summer,153,Erie,ER59,CYCSTRE,Cyclops divergens,2012,0,0
Summer,153,Erie,ER60,CYCSTRE,Cyclops divergens,2012,0,0
Summer,153,Erie,ER61,CYCSTRE,Cyclops divergens,2012,0,0
Summer,153,Erie,ER91M,CYCSTRE,Cyclops divergens,2012,0,0
Summer,153,Erie,ER92,CYCSTRE,Cyclops divergens,2012,0,0
Summer,153,Erie,ER58,CYCSTRE,Cyclops divergens,2013,0,0
Summer,153,Erie,ER59,CYCSTRE,Cyclops divergens,2013,0,0
Summer,153,Erie,ER60,CYCSTRE,Cyclops divergens,2013,0,0
Summer,153,Erie,ER61,CYCSTRE,Cyclops divergens,2013,0,0
Summer,153,Erie,ER91M,CYCSTRE,Cyclops divergens,2013,0,0
Summer,153,Erie,ER92,CYCSTRE,Cyclops divergens,2013,0,0
Summer,153,Erie,ER58,CYCSTRE,Cyclops divergens,2014,0,0
Summer,153,Erie,ER59,CYCSTRE,Cyclops divergens,2014,0,0
Summer,153,Erie,ER60,CYCSTRE,Cyclops divergens,2014,0,0
Summer,153,Erie,ER61,CYCSTRE,Cyclops divergens,2014,0,0
Summer,153,Erie,ER91M,CYCSTRE,Cyclops divergens,2014,0,0
Summer,153,Erie,ER92,CYCSTRE,Cyclops divergens,2014,0,0
Summer,153,Erie,ER58,CYCSTRE,Cyclops divergens,2015,0,0
Summer,153,Erie,ER59,CYCSTRE,Cyclops divergens,2015,0,0
Summer,153,Erie,ER60,CYCSTRE,Cyclops divergens,2015,0,0
Summer,153,Erie,ER61,CYCSTRE,Cyclops divergens,2015,0,0
Summer,153,Erie,ER91M,CYCSTRE,Cyclops divergens,2015,0,0
Summer,153,Erie,ER92,CYCSTRE,Cyclops divergens,2015,0,0
Summer,153,Erie,ER58,CYCSTRE,Cyclops divergens,2016,0,0
Summer,153,Erie,ER59,CYCSTRE,Cyclops divergens,2016,0,0
Summer,153,Erie,ER60,CYCSTRE,Cyclops divergens,2016,0,0
Summer,153,Erie,ER61,CYCSTRE,Cyclops divergens,2016,0,0
Summer,153,Erie,ER91M,CYCSTRE,Cyclops divergens,2016,0,0
Summer,153,Erie,ER92,CYCSTRE,Cyclops divergens,2016,0,0
Summer,153,Erie,ER58,CYCSTRE,Cyclops divergens,2017,0,0
Summer,153,Erie,ER59,CYCSTRE,Cyclops divergens,2017,0,0
Summer,153,Erie,ER60,CYCSTRE,Cyclops divergens,2017,0,0
Summer,153,Erie,ER61,CYCSTRE,Cyclops divergens,2017,0,0
Summer,153,Erie,ER91M,CYCSTRE,Cyclops divergens,2017,0,0
Summer,153,Erie,ER92,CYCSTRE,Cyclops divergens,2017,0,0
Summer,153,Erie,ER58,CYCSTRE,Cyclops divergens,2018,0,0
Summer,153,Erie,ER59,CYCSTRE,Cyclops divergens,2018,0,0
Summer,153,Erie,ER60,CYCSTRE,Cyclops divergens,2018,0,0
Summer,153,Erie,ER61,CYCSTRE,Cyclops divergens,2018,0,0
Summer,153,Erie,ER91M,CYCSTRE,Cyclops divergens,2018,0,0
Summer,153,Erie,ER92,CYCSTRE,Cyclops divergens,2018,0,0
Summer,153,Erie,ER58,CYCSTRE,Cyclops divergens,2019,0,0
Summer,153,Erie,ER59,CYCSTRE,Cyclops divergens,2019,0,0
Summer,153,Erie,ER60,CYCSTRE,Cyclops divergens,2019,0,0
Summer,153,Erie,ER61,CYCSTRE,Cyclops divergens,2019,0,0
Summer,153,Erie,ER91M,CYCSTRE,Cyclops divergens,2019,0,0
Summer,153,Erie,ER92,CYCSTRE,Cyclops divergens,2019,0,0
Summer,153,Erie,ER58,DAPLUMH,Daphnia lumholtzi,2012,233.3633484,632.382574
Summer,153,Erie,ER59,DAPLUMH,Daphnia lumholtzi,2012,28.12327532,158.1413279
Summer,153,Erie,ER60,DAPLUMH,Daphnia lumholtzi,2012,411.3029016,468.3124927
Summer,153,Erie,ER61,DAPLUMH,Daphnia lumholtzi,2012,0,0
Summer,153,Erie,ER91M,DAPLUMH,Daphnia lumholtzi,2012,27.97978922,69.62917672
Summer,153,Erie,ER92,DAPLUMH,Daphnia lumholtzi,2012,87.74461901,166.916917
Summer,153,Erie,ER58,DAPLUMH,Daphnia lumholtzi,2013,0,0
Summer,153,Erie,ER59,DAPLUMH,Daphnia lumholtzi,2013,0,0
Summer,153,Erie,ER60,DAPLUMH,Daphnia lumholtzi,2013,0,0
Summer,153,Erie,ER61,DAPLUMH,Daphnia lumholtzi,2013,26.15126151,18.37012312
Summer,153,Erie,ER91M,DAPLUMH,Daphnia lumholtzi,2013,0,0
Summer,153,Erie,ER92,DAPLUMH,Daphnia lumholtzi,2013,0,0
Summer,153,Erie,ER58,DAPLUMH,Daphnia lumholtzi,2014,0,0
Summer,153,Erie,ER59,DAPLUMH,Daphnia lumholtzi,2014,0,0
Summer,153,Erie,ER60,DAPLUMH,Daphnia lumholtzi,2014,3.137506964,1.626320122
Summer,153,Erie,ER61,DAPLUMH,Daphnia lumholtzi,2014,0,0
Summer,153,Erie,ER91M,DAPLUMH,Daphnia lumholtzi,2014,0,0
Summer,153,Erie,ER92,DAPLUMH,Daphnia lumholtzi,2014,0,0
Summer,153,Erie,ER58,DAPLUMH,Daphnia lumholtzi,2015,0,0
Summer,153,Erie,ER59,DAPLUMH,Daphnia lumholtzi,2015,0,0
Summer,153,Erie,ER60,DAPLUMH,Daphnia lumholtzi,2015,0,0
