X1,EventID,CollectionDate,Season,DN,Lat,Long,Station,Strata,SAMPLENUM,SPECCODE,CountType,SUMGROUP,Density,Biomass,CollectionDateString,MONTH,Den.Liter,RotGENERA,Den.Liter_New,Bio.Liter_New,Zoop_GENERA
2880,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77221667,-77.43795,stn49,wwc,18GO09I73,CYCCOPE,MACRO,CYCLOPOID,246.9734693,574.2763336,20180410,Apr,2.469734693,NA,0.246973469,0.574276334,Cyclopoids
2881,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77221667,-77.43795,stn49,wwc,18GO09I73,DAPGALEM,MACRO,DAPHNID,0.579749928,0.442311163,20180410,Apr,0.005797499,NA,5.80E-04,4.42E-04,Cladocerans
2882,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77221667,-77.43795,stn49,wwc,18GO09I73,DIACOPE,MACRO,CALANOID,15.65324805,52.20834917,20180410,Apr,0.156532481,NA,0.015653248,0.052208349,Calanoids
2883,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77221667,-77.43795,stn49,wwc,18GO09I73,DIYTHOM,MACRO,CYCLOPOID,386.113452,2059.25295,20180410,Apr,3.86113452,NA,0.386113452,2.05925295,Cyclopoids
2884,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77221667,-77.43795,stn49,wwc,18GO09I73,LEOMINU,MACRO,CALANOID,1.159499856,8.30896028,20180410,Apr,0.011594999,NA,0.0011595,0.00830896,Calanoids
2885,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77221667,-77.43795,stn49,wwc,18GO09I73,LEOSICI,MACRO,CALANOID,97.39798788,1416.257874,20180410,Apr,0.973979879,NA,0.097397988,1.416257874,Calanoids
2886,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77221667,-77.43795,stn49,wwc,18GO09I73,LIMMACR,MACRO,LIMNO,26.08874675,1556.87246,20180410,Apr,0.260887468,NA,0.026088747,1.55687246,Calanoids
2934,stn25_20180409_D_LG,4/9/2018,Early Spring,N,43.51655,-79.08008333,stn25,wwc,18GO10I73,MYSRELI,MACRO,MYSID,0.960935505,438.9670136,20180409,Apr,0.009609355,NA,9.61E-04,0.438967014,Mysis
2888,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77221667,-77.43795,stn49,wwc,18GO09I73,SKIOREG,MACRO,CALANOID,15.07349812,159.2174537,20180410,Apr,0.150734981,NA,0.015073498,0.159217454,Calanoids
2879,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77221667,-77.43795,stn49,wwc,18GO09I73,BOSLONG,MACRO,BOSMINID,1.159499856,0.86240043,20180410,Apr,0.011594999,NA,0.0011595,8.62E-04,Cladocerans
3105,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77222,-77.43795,stn49,epi,18GO09I74,CYCCOPE,MACRO,CYCLOPOID,213.9071,654.6742,20180410,Apr,2.139071,NA,0.2139071,0.6546742,Cyclopoids
3106,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77222,-77.43795,stn49,epi,18GO09I74,DIACOPE,MACRO,CALANOID,12.19646,51.58034,20180410,Apr,0.1219646,NA,0.01219646,0.05158034,Calanoids
3107,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77222,-77.43795,stn49,epi,18GO09I74,DIYTHOM,MACRO,CYCLOPOID,419.3704,2215.528,20180410,Apr,4.193704,NA,0.4193704,2.215528,Cyclopoids
3108,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77222,-77.43795,stn49,epi,18GO09I74,LEOMINU,MACRO,CALANOID,1.876378,11.66728,20180410,Apr,0.01876378,NA,0.001876378,0.01166728,Calanoids
3109,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77222,-77.43795,stn49,epi,18GO09I74,LEOSICI,MACRO,CALANOID,104.139,1411.85,20180410,Apr,1.04139,NA,0.104139,1.41185,Calanoids
3110,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77222,-77.43795,stn49,epi,18GO09I74,LIMMACR,MACRO,LIMNO,12.06243,700.651,20180410,Apr,0.1206243,NA,0.01206243,0.700651,Calanoids
3111,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77222,-77.43795,stn49,epi,18GO09I74,SKIOREG,MACRO,CALANOID,18.76378,223.9959,20180410,Apr,0.1876378,NA,0.01876378,0.2239959,Calanoids
3112,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77222,-77.43795,stn49,epi,18GO09I74,COPNAUP,MICRO,pNAUPLII,495.8328,47.37529,20180410,Apr,4.958328,NA,0.4958328,0.04737529,Nauplii
3113,stn49_20180410_D_LG,4/10/2018,Early Spring,D,43.77222,-77.43795,stn49,epi,18GO09I74,DREPOLYV,MICRO,VELIGER,3.283661,1.594193,20180410,Apr,0.03283661,NA,0.003283661,0.001594193,Veligers
